Date,L_allocation,L_selection,L_interation,S_allocation,S_selection,S_interation,L_total,S_total,allocation_total,selection_total,interaction_total,total
20-Apr,-0.706639918,-10.5402944,-0.405154819,-2.519714628,-1.718202782,3.869733096,-11.65208914,-0.368184313,-3.226354546,-12.25849718,3.464578277,-12.02027345
20-May,-0.029910432,-4.019442244,0.065976701,-0.17525087,-0.498310427,0.17772449,-3.983375975,-0.495836807,-0.205161302,-4.517752671,0.243701191,-4.479212781
20-Jun,-0.13843471,-1.250929795,0.183403128,-0.065430479,-0.253506522,0.041972508,-1.205961377,-0.276964493,-0.203865189,-1.504436317,0.225375635,-1.48292587
20-Jul,-0.129462979,-3.244635975,0.170499063,-0.06585032,-0.393375938,0.031845626,-3.203599891,-0.427380632,-0.195313299,-3.638011913,0.202344689,-3.630980523
20-Aug,-0.179701579,-5.099392609,0.251632111,-0.113074572,-0.336994765,0.073486375,-5.027462077,-0.376582962,-0.29277615,-5.436387374,0.325118486,-5.404045038
20-Sep,-0.128768989,2.990246355,-0.115795603,-0.229258465,0.638518147,0.490637074,2.745681763,0.899896756,-0.358027454,3.628764502,0.374841471,3.645578519
20-Oct,-0.007402126,3.072833654,-0.029376767,0.003008757,-0.217125068,0.030723748,3.036054761,-0.183392563,-0.004393369,2.855708586,0.001346981,2.852662198
20-Nov,-0.539711496,-8.956981131,-0.589787567,-1.025792664,-2.079009852,2.755964216,-10.08648019,-0.348838299,-1.565504159,-11.03599098,2.166176649,-10.43531849
20-Dec,-0.050652202,-2.56353759,-0.021198041,-0.228047142,-0.982272034,0.38323795,-2.635387833,-0.827081226,-0.278699344,-3.545809624,0.362039909,-3.462469059
21-Jan,-0.11017386,0.605387549,0.125886784,-0.796405543,-0.877575208,0.811240043,0.621100473,-0.862740708,-0.906579404,-0.272187659,0.937126828,-0.241640234
21-Feb,-0.493655475,-2.310325435,0.470500511,-0.616944791,-0.865874286,0.72054753,-2.333480399,-0.762271547,-1.110600266,-3.176199721,1.191048041,-3.095751946
21-Mar,-0.09205328,-3.81931178,0.240049767,-0.140806734,-0.177218619,0.05203529,-3.671315293,-0.265990062,-0.232860014,-3.996530399,0.292085057,-3.937305356
21-Apr,-0.019670274,-3.054777954,0.126136548,-0.118651465,-0.106461072,0.009603277,-2.948311681,-0.21550926,-0.138321739,-3.161239026,0.135739824,-3.163820941
21-May,-0.063176727,-0.767668518,0.085320982,-0.205042269,-0.358656285,0.196926963,-0.745524263,-0.366771591,-0.268218996,-1.126324803,0.282247945,-1.112295854
